"name","kingdom","class","phylum","scientificName","family","species","order","genus","yearPublished","populationTrend","biogeographicalRealms","systems","scopes","lastAssessed","estimatedPopulation","threats","habitats"
"Magdalena River Turtle","animalia","reptilia","chordata","Podocnemis lewyana","podocnemididae","lewyana","testudines","podocnemis",2016,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 July 2015",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications","Forest;Wetlands (inland)"
"Riverine Rabbit","animalia","mammalia","chordata","Bunolagus monticularis","leporidae","monticularis","lagomorpha","bunolagus",2013,"Decreasing","Afrotropical","Terrestrial","Global","02 July 2008",NA,"Agriculture & aquaculture;Biological resource use","Shrubland;Desert"
"Red-belly toad","animalia","amphibia","chordata","Melanophryniscus admirabilis","bufonidae","admirabilis","anura","melanophryniscus",2013,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","16 May 2013",NA,"Biological resource use;Natural system modifications;Pollution","Forest;Wetlands (inland)"
"Sunda Pangolin","animalia","mammalia","chordata","Manis javanica","manidae","javanica","pholidota","manis",2014,"Decreasing","Indomalayan","Terrestrial","Global","26 June 2013",NA,"Transportation & service corridors;Biological resource use;Natural system modifications","Forest;Shrubland;Artificial/Terrestrial"
"Chinese Pangolin","animalia","mammalia","chordata","Manis pentadactyla","manidae","pentadactyla","pholidota","manis",2014,"Decreasing","Indomalayan;Palearctic","Terrestrial","Global","26 June 2013",NA,"Transportation & service corridors;Biological resource use;Climate change & severe weather","Forest;Shrubland;Grassland"
"Pygmy Raccoon","animalia","mammalia","chordata","Procyon pygmaeus","procyonidae","pygmaeus","carnivora","procyon",2016,"Decreasing","Neotropical","Terrestrial","Global","11 February 2016",192,"Residential & commercial development;Transportation & service corridors;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest;Artificial/Terrestrial"
"Addax","animalia","mammalia","chordata","Addax nasomaculatus","bovidae","nasomaculatus","cetartiodactyla","addax",2016,"Decreasing","Palearctic","Terrestrial","Global","27 April 2016",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Climate change & severe weather","Savanna;Grassland;Desert"
"Vaquita","animalia","mammalia","chordata","Phocoena sinus","phocoenidae","sinus","cetartiodactyla","phocoena",2017,"Decreasing","Neotropical","Marine","Global","20 July 2017",18,"Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Marine Neritic;Marine Oceanic"
NA,"animalia","amphibia","chordata","Pseudophilautus papillosus","rhacophoridae","papillosus","anura","pseudophilautus",2014,"Unknown","Indomalayan","Terrestrial","Global","20 August 2014",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Pollution","Forest;Artificial/Terrestrial"
"Mt. Coke False Shieldback","animalia","insecta","arthropoda","Acilacris furcatus","tettigoniidae","furcatus","orthoptera","acilacris",2014,"Unknown","Afrotropical","Terrestrial","Global","01 March 2014",NA,"Agriculture & aquaculture;Natural system modifications;Climate change & severe weather","Shrubland"
"Pondo Flat-necked Shieldback","animalia","insecta","arthropoda","Arytropteris pondo","tettigoniidae","pondo","orthoptera","arytropteris",2014,"Unknown","Afrotropical","Terrestrial","Global","20 April 2014",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Climate change & severe weather","Forest"
"Castleton's Flightless Katydid","animalia","insecta","arthropoda","Austrodontura castletoni","tettigoniidae","castletoni","orthoptera","austrodontura",2014,"Unknown","Afrotropical","Terrestrial","Global","08 April 2014",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"Marais' Lace-winged Katydid","animalia","insecta","arthropoda","Pseudosaga maraisi","tettigoniidae","maraisi","orthoptera","pseudosaga",2014,"Unknown","Afrotropical","Terrestrial","Global","27 June 2014",NA,"Agriculture & aquaculture;Climate change & severe weather","Desert"
"Bei-Bienko's Plump Bush-cricket","animalia","insecta","arthropoda","Isophya beybienkoi","tettigoniidae","beybienkoi","orthoptera","isophya",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe","23 November 2015",NA,"Natural system modifications","Shrubland;Grassland"
"Buff-headed Capuchin","animalia","mammalia","chordata","Sapajus xanthosternos","cebidae","xanthosternos","primates","sapajus",2015,"Decreasing","Neotropical","Terrestrial","Global","01 July 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use","Forest"
"Blonde Capuchin","animalia","mammalia","chordata","Sapajus flavius","cebidae","flavius","primates","sapajus",2015,"Decreasing","Neotropical","Terrestrial","Global","01 July 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance;Invasive and other problematic species, genes & diseases","Forest"
"Epirus Dancing Grasshopper","animalia","insecta","arthropoda","Chorthippus lacustris","acrididae","lacustris","orthoptera","chorthippus",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe;Mediterranean","05 February 2015",NA,"Residential & commercial development;Agriculture & aquaculture;Natural system modifications","Wetlands (inland)"
"Andrahomana Cave Giant Pill-Millipede","animalia","diplopoda","arthropoda","Sphaeromimus andrahomana","arthrosphaeridae","andrahomana","sphaerotheriida","sphaeromimus",2017,"Decreasing","Afrotropical","Terrestrial","Global","17 December 2015",NA,"Agriculture & aquaculture;Biological resource use;Climate change & severe weather","Forest"
"Lavasoa Giant Pill-Millipede","animalia","diplopoda","arthropoda","Sphaeromimus lavasoa","arthrosphaeridae","lavasoa","sphaerotheriida","sphaeromimus",2017,"Decreasing","Afrotropical","Terrestrial","Global","02 September 2014",NA,"Biological resource use;Natural system modifications","Forest"
"Cape Flats Frog","animalia","amphibia","chordata","Microbatrachella capensis","pyxicephalidae","capensis","anura","microbatrachella",2017,"Decreasing","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","29 July 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Natural system modifications;Invasive and other problematic species, genes & diseases","Shrubland;Wetlands (inland)"
"Northern Moss Frog","animalia","amphibia","chordata","Arthroleptella subvoce","pyxicephalidae","subvoce","anura","arthroleptella",2016,"Unknown","Afrotropical","Terrestrial","Global","11 August 2016",NA,"Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Shrubland;Wetlands (inland)"
"Parnassos Greek Bush-cricket","animalia","insecta","arthropoda","Parnassiana parnassica","tettigoniidae","parnassica","orthoptera","parnassiana",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe;Mediterranean","23 May 2015",NA,"Residential & commercial development;Agriculture & aquaculture","Grassland"
"Riggio's Saddle Bush-cricket","animalia","insecta","arthropoda","Uromenus riggioi","tettigoniidae","riggioi","orthoptera","uromenus",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe;Mediterranean","17 May 2015",NA,"","Shrubland"
"Española Giant Tortoise","animalia","reptilia","chordata","Chelonoidis hoodensis","testudinidae","hoodensis","testudines","chelonoidis",2017,"Increasing","Neotropical","Terrestrial","Global","20 August 2015",NA,"Biological resource use;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Shrubland"
"Red-legged Fire-Millipede","animalia","diplopoda","arthropoda","Aphistogoniulus corallipes","pachybolidae","corallipes","spirobolida","aphistogoniulus",2017,"Decreasing","Afrotropical","Terrestrial","Global","11 November 2015",NA,"Agriculture & aquaculture;Biological resource use","Forest"
"Mark's Bushfrog","animalia","amphibia","chordata","Raorchestes marki","rhacophoridae","marki","anura","raorchestes",2011,"Decreasing","Indomalayan","Terrestrial","Global","27 January 2011",NA,"Residential & commercial development;Agriculture & aquaculture","Forest"
NA,"animalia","gastropoda","mollusca","Megalobulimus grandis","strophocheilidae","grandis","stylommatophora","megalobulimus",1996,NA,"Neotropical","Terrestrial","Global","01 August 1996",NA,"",""
"Myaka Myaka","animalia","actinopterygii","chordata","Myaka myaka","cichlidae","myaka","perciformes","myaka",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Central Africa","16 February 2009",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Pollution;Geological events","Wetlands (inland)"
"Kipunji","animalia","mammalia","chordata","Rungwecebus kipunji","cercopithecidae","kipunji","primates","rungwecebus",2008,"Decreasing","Afrotropical","Terrestrial","Global","30 June 2008",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","malacostraca","arthropoda","Euastacus dalagarbe","parastacidae","dalagarbe","decapoda","euastacus",2010,"Unknown","Australasian","Freshwater (=Inland waters)","Global","01 June 2010",NA,"Transportation & service corridors;Biological resource use;Human intrusions & disturbance;Natural system modifications;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest;Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Proterorhinus tataricus","gobiidae","tataricus","perciformes","proterorhinus",2008,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","01 January 2008",NA,"Natural system modifications;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","mammalia","chordata","Microtus bavaricus","cricetidae","bavaricus","rodentia","microtus",2008,"Decreasing","Palearctic","Terrestrial","Global;Europe","30 June 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Natural system modifications","Forest;Grassland"
"Philippine Crocodile","animalia","reptilia","chordata","Crocodylus mindorensis","crocodylidae","mindorensis","crocodylia","crocodylus",2016,"Decreasing","Indomalayan","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","24 May 2012",NA,"Agriculture & aquaculture;Biological resource use","Wetlands (inland)"
"Sinai Baton Blue","animalia","insecta","arthropoda","Pseudophilotes sinaicus","lycaenidae","sinaicus","lepidoptera","pseudophilotes",2012,"Decreasing","Palearctic","Terrestrial","Global","09 November 2010",2302,"Biological resource use;Climate change & severe weather","Desert"
"Plicate Rocksnail","animalia","gastropoda","mollusca","Leptoxis plicata","pleuroceridae","plicata","sorbeoconcha","leptoxis",2011,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","01 August 2011",NA,"Residential & commercial development;Agriculture & aquaculture;Energy production & mining;Natural system modifications;Pollution","Wetlands (inland)"
"Pygmy Hog","animalia","mammalia","chordata","Porcula salvania","suidae","salvania","cetartiodactyla","porcula",2008,"Decreasing","Indomalayan","Terrestrial","Global","30 June 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Natural system modifications","Grassland"
NA,"animalia","insecta","arthropoda","Gryllapterus tomentosus","gryllidae","tomentosus","orthoptera","gryllapterus",2012,"Unknown","Afrotropical","Terrestrial","Global","27 October 2007",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
NA,"animalia","gastropoda","mollusca","Henrigirardia wienini","moitessieriidae","wienini","littorinimorpha","henrigirardia",2010,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe;Mediterranean","06 November 2009",NA,"Natural system modifications","Wetlands (inland)"
NA,"animalia","reptilia","chordata","Geophis damiani","dipsadidae","damiani","squamata","geophis",2013,"Decreasing","Neotropical","Terrestrial","Global","07 May 2013",NA,"Agriculture & aquaculture;Biological resource use","Forest"
"Mekong Giant Catfish","animalia","actinopterygii","chordata","Pangasianodon gigas","pangasiidae","gigas","siluriformes","pangasianodon",2011,"Decreasing","Indomalayan","Freshwater (=Inland waters)","Global","13 April 2011",NA,"Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
"Giant Pangasius","animalia","actinopterygii","chordata","Pangasius sanitwongsei","pangasiidae","sanitwongsei","siluriformes","pangasius",2009,"Decreasing","Indomalayan","Freshwater (=Inland waters)","Global","01 March 2007",NA,"Biological resource use;Natural system modifications","Wetlands (inland)"
"Golden Bamboo Lemur","animalia","mammalia","chordata","Hapalemur aureus","lemuridae","aureus","primates","hapalemur",2014,"Decreasing","Afrotropical","Terrestrial","Global","11 July 2012",NA,"Agriculture & aquaculture;Biological resource use","Forest;Wetlands (inland)"
"Common Skate","animalia","chondrichthyes","chordata","Dipturus batis","rajidae","batis","rajiformes","dipturus",2006,"Decreasing","Afrotropical;Palearctic","Marine","Global","31 January 2006",NA,"Biological resource use","Marine Oceanic"
NA,"animalia","actinopterygii","chordata","Tilapia bythobates","cichlidae","bythobates","perciformes","tilapia",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Central Africa","16 February 2009",NA,"Agriculture & aquaculture;Biological resource use;Pollution;Geological events","Wetlands (inland)"
"Variegated Spider Monkey","animalia","mammalia","chordata","Ateles hybridus","atelidae","hybridus","primates","ateles",2008,"Decreasing","Neotropical","Terrestrial","Global","30 June 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Transportation & service corridors;Biological resource use","Forest"
"Hainan Gibbon","animalia","mammalia","chordata","Nomascus hainanus","hylobatidae","hainanus","primates","nomascus",2008,"Stable","Indomalayan","Terrestrial","Global","30 June 2008",NA,"Agriculture & aquaculture;Biological resource use","Forest"
"Banat Grasshopper","animalia","insecta","arthropoda","Zubovskya banatica","acrididae","banatica","orthoptera","zubovskya",2016,"Stable","Palearctic","Terrestrial","Global;Europe","23 November 2015",NA,"Residential & commercial development;Agriculture & aquaculture","Grassland"
"Toyama's Ground Gecko","animalia","reptilia","chordata","Goniurosaurus toyami","eublepharidae","toyami","squamata","goniurosaurus",2017,"Unknown","Indomalayan","Terrestrial","Global","13 December 2016",NA,"Transportation & service corridors;Biological resource use;Natural system modifications","Forest"
"Woylie","animalia","mammalia","chordata","Bettongia penicillata","potoroidae","penicillata","diprotodontia","bettongia",2016,"Decreasing","Australasian","Terrestrial","Global","31 December 2012",NA,"Natural system modifications;Invasive and other problematic species, genes & diseases","Forest;Shrubland"
"Ricord's Rock Iguana","animalia","reptilia","chordata","Cyclura ricordii","iguanidae","ricordii","squamata","cyclura",1996,"Decreasing","Neotropical","Terrestrial","Global","01 August 1996",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Invasive and other problematic species, genes & diseases","Savanna"
"Osgood's Ethiopian Toad","animalia","amphibia","chordata","Altiphrynoides osgoodi","bufonidae","osgoodi","anura","altiphrynoides",2014,"Unknown","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","02 June 2012",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases","Forest;Shrubland;Wetlands (inland)"
"Largetooth Sawfish","animalia","chondrichthyes","chordata","Pristis pristis","pristidae","pristis","rhinopristiformes","pristis",2013,"Decreasing","Afrotropical;Australasian;Indomalayan;Nearctic;Neotropical","Freshwater (=Inland waters);Marine;Freshwater (=Inland waters) and Marine","Global","01 March 2013",NA,"Residential & commercial development;Energy production & mining;Transportation & service corridors;Biological resource use;Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland);Marine Neritic;Marine Intertidal"
"Santa Catarina’s Guinea Pig","animalia","mammalia","chordata","Cavia intermedia","caviidae","intermedia","rodentia","cavia",2016,"Decreasing","Neotropical","Terrestrial","Global","01 March 2016",NA,"Biological resource use;Human intrusions & disturbance","Unknown"
"Vancouver Island Marmot","animalia","mammalia","chordata","Marmota vancouverensis","sciuridae","vancouverensis","rodentia","marmota",2017,"Decreasing","Nearctic","Terrestrial","Global","02 March 2017",90,"Biological resource use;Invasive and other problematic species, genes & diseases","Forest;Grassland;Rocky areas (eg. inland cliffs, mountain peaks)"
NA,"animalia","amphibia","chordata","Scinax muriciensis","hylidae","muriciensis","anura","scinax",2015,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","16 March 2015",NA,"Agriculture & aquaculture;Biological resource use","Forest;Other"
NA,"animalia","amphibia","chordata","Craugastor tabasarae","craugastoridae","tabasarae","anura","craugastor",2006,"Decreasing","Neotropical","Terrestrial","Global","31 January 2006",NA,"Biological resource use;Invasive and other problematic species, genes & diseases","Forest"
"Tenerife Speckled Lizard","animalia","reptilia","chordata","Gallotia intermedia","lacertidae","intermedia","squamata","gallotia",2009,"Increasing","Palearctic","Terrestrial","Global;Europe","14 December 2008",NA,"Invasive and other problematic species, genes & diseases","Shrubland;Rocky areas (eg. inland cliffs, mountain peaks)"
"Resplendent Shrubfrog","animalia","amphibia","chordata","Raorchestes resplendens","rhacophoridae","resplendens","anura","raorchestes",2011,"Decreasing","Indomalayan","Terrestrial","Global","29 September 2010",300,"Other options","Forest"
NA,"animalia","reptilia","chordata","Calumma tarzan","chamaeleonidae","tarzan","squamata","calumma",2011,"Decreasing","Afrotropical","Terrestrial","Global","26 January 2011",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use","Forest"
NA,"animalia","actinopterygii","chordata","Sarotherodon lohbergeri","cichlidae","lohbergeri","perciformes","sarotherodon",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Central Africa","16 February 2009",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Natural system modifications;Pollution;Geological events","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Sarotherodon linnellii","cichlidae","linnellii","perciformes","sarotherodon",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Central Africa","16 February 2009",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Natural system modifications;Pollution;Geological events","Wetlands (inland)"
"Javan Rhinoceros","animalia","mammalia","chordata","Rhinoceros sondaicus","rhinocerotidae","sondaicus","perissodactyla","rhinoceros",2008,"Unknown","Indomalayan","Terrestrial","Global","30 June 2008",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","reptilia","chordata","Geochelone platynota","testudinidae","platynota","testudines","geochelone",2000,NA,"Indomalayan","Terrestrial","Global","30 June 2000",NA,"Biological resource use",""
"Ploughshare Tortoise","animalia","reptilia","chordata","Astrochelys yniphora","testudinidae","yniphora","testudines","astrochelys",2008,"Decreasing","Afrotropical","Terrestrial","Global","15 January 2008",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications","Forest;Shrubland;Artificial/Terrestrial"
"Adriatic Sturgeon","animalia","actinopterygii","chordata","Acipenser naccarii","acipenseridae","naccarii","acipenseriformes","acipenser",2011,"Decreasing","Palearctic","Freshwater (=Inland waters);Marine;Freshwater (=Inland waters) and Marine","Global;Europe","24 October 2009",NA,"Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution;Other options","Wetlands (inland);Marine Neritic"
"La Hotte Bush Frog","animalia","amphibia","chordata","Eleutherodactylus bakeri","eleutherodactylidae","bakeri","anura","eleutherodactylus",2004,"Decreasing","Neotropical","Terrestrial","Global","30 April 2004",NA,"Agriculture & aquaculture;Biological resource use","Forest"
NA,"animalia","amphibia","chordata","Pseudophilautus macropus","rhacophoridae","macropus","anura","pseudophilautus",2004,"Decreasing","Indomalayan","Terrestrial","Global","30 April 2004",NA,"Agriculture & aquaculture;Biological resource use;Pollution","Forest;Artificial/Terrestrial"
"Finca Chiblac Salamander","animalia","amphibia","chordata","Bradytriton silus","plethodontidae","silus","caudata","bradytriton",2008,"Decreasing","Neotropical","Terrestrial","Global","01 January 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use","Forest"
"Titicaca Water Frog","animalia","amphibia","chordata","Telmatobius culeus","telmatobiidae","culeus","anura","telmatobius",2004,"Decreasing","Neotropical","Freshwater (=Inland waters)","Global","30 April 2004",NA,"Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
"Carabaya Stubfoot Toad","animalia","amphibia","chordata","Atelopus erythropus","bufonidae","erythropus","anura","atelopus",2004,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","30 April 2004",NA,"Invasive and other problematic species, genes & diseases","Forest;Wetlands (inland)"
NA,"animalia","amphibia","chordata","Eleutherodactylus richmondi","eleutherodactylidae","richmondi","anura","eleutherodactylus",2008,"Decreasing","Neotropical","Terrestrial","Global","01 January 2008",NA,"Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"Diademed Sifaka","animalia","mammalia","chordata","Propithecus diadema","indriidae","diadema","primates","propithecus",2014,"Decreasing","Afrotropical","Terrestrial","Global","11 July 2012",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use","Forest"
"Mongoose Lemur","animalia","mammalia","chordata","Eulemur mongoz","lemuridae","mongoz","primates","eulemur",2014,"Decreasing","Afrotropical","Terrestrial","Global","11 July 2012",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications","Forest"
NA,"animalia","amphibia","chordata","Pseudophilautus decoris","rhacophoridae","decoris","anura","pseudophilautus",2016,"Decreasing","Indomalayan","Terrestrial","Global","03 March 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Pollution","Forest;Artificial/Terrestrial"
"Williams' Bright-eyed Frog","animalia","amphibia","chordata","Boophis williamsi","mantellidae","williamsi","anura","boophis",2016,"Decreasing","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","24 November 2015",NA,"Agriculture & aquaculture;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution;Climate change & severe weather","Forest;Grassland;Wetlands (inland)"
NA,"animalia","amphibia","chordata","Phrynopus heimorum","craugastoridae","heimorum","anura","phrynopus",2018,"Decreasing","Neotropical","Terrestrial","Global","19 April 2017",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use","Forest;Shrubland;Grassland"
"Orange-bellied Parrot","animalia","aves","chordata","Neophema chrysogaster","psittacidae","chrysogaster","psittaciformes","neophema",2016,"Decreasing","Australasian","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Energy production & mining;Natural system modifications;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest;Wetlands (inland);Marine Intertidal;Marine Coastal/Supratidal;Artificial/Terrestrial"
"Black-breasted Puffleg","animalia","aves","chordata","Eriocnemis nigrivestis","trochilidae","nigrivestis","caprimulgiformes","eriocnemis",2016,"Decreasing","Neotropical","Terrestrial","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Energy production & mining;Biological resource use;Geological events;Climate change & severe weather","Forest"
"Glaucous Macaw","animalia","aves","chordata","Anodorhynchus glaucus","psittacidae","glaucus","psittaciformes","anodorhynchus",2016,"Unknown","Neotropical","Terrestrial","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use","Forest;Savanna"
"Kakapo","animalia","aves","chordata","Strigops habroptila","strigopidae","habroptila","psittaciformes","strigops",2016,"Increasing","Oceanian","Terrestrial","Global","01 October 2016",108,"Invasive and other problematic species, genes & diseases","Forest;Artificial/Terrestrial"
NA,"animalia","gastropoda","mollusca","Oxychilus agostinhoi","oxychilidae","agostinhoi","stylommatophora","oxychilus",2017,"Decreasing","Palearctic","Terrestrial","Global;Europe","28 November 2016",NA,"Agriculture & aquaculture;Biological resource use;Climate change & severe weather","Forest;Artificial/Terrestrial"
"Hooded Vulture","animalia","aves","chordata","Necrosyrtes monachus","accipitridae","monachus","accipitriformes","necrosyrtes",2017,"Decreasing","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Pollution","Forest;Savanna;Shrubland;Grassland;Desert;Artificial/Terrestrial"
"Long-billed Forest-warbler","animalia","aves","chordata","Artisornis moreaui","cisticolidae","moreaui","passeriformes","artisornis",2017,"Decreasing","Afrotropical","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest;Shrubland"
"Yellow-crested Cockatoo","animalia","aves","chordata","Cacatua sulphurea","cacatuidae","sulphurea","psittaciformes","cacatua",2017,"Decreasing","Indomalayan;Oceanian","Terrestrial","Global","01 October 2017",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Pollution;Climate change & severe weather","Forest;Shrubland;Artificial/Terrestrial"
"Plains-wanderer","animalia","aves","chordata","Pedionomus torquatus","pedionomidae","torquatus","charadriiformes","pedionomus",2017,"Decreasing","Oceanian","Terrestrial","Global","01 October 2017",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Pollution;Climate change & severe weather","Grassland;Artificial/Terrestrial"
"White-headed Vulture","animalia","aves","chordata","Trigonoceps occipitalis","accipitridae","occipitalis","accipitriformes","trigonoceps",2017,"Decreasing","Afrotropical","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance;Invasive and other problematic species, genes & diseases;Pollution","Savanna;Shrubland;Grassland;Artificial/Terrestrial"
NA,"animalia","insecta","arthropoda","Donus multifidus","curculionidae","multifidus","coleoptera","donus",2017,"Decreasing","Palearctic","Terrestrial","Global","26 December 2016",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"Eastern Gorilla","animalia","mammalia","chordata","Gorilla beringei","hominidae","beringei","primates","gorilla",2016,"Decreasing","Afrotropical","Terrestrial","Global","01 April 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Energy production & mining;Transportation & service corridors;Biological resource use;Human intrusions & disturbance;Natural system modifications;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"White-winged Guan","animalia","aves","chordata","Penelope albipennis","cracidae","albipennis","galliformes","penelope",2016,"Decreasing","Neotropical","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Invasive and other problematic species, genes & diseases","Forest"
"Rio Pescado Stubfoot Toad","animalia","amphibia","chordata","Atelopus balios","bufonidae","balios","anura","atelopus",2018,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","16 July 2016",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Pollution","Forest;Wetlands (inland)"
"Vietnamese Pond Turtle","animalia","reptilia","chordata","Mauremys annamensis","geoemydidae","annamensis","testudines","mauremys",2000,NA,"Indomalayan","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","30 June 2000",NA,"",""
"Ground.beetle","animalia","insecta","arthropoda","Olisthopus inclavatus","carabidae","inclavatus","coleoptera","olisthopus",2018,"Decreasing","Palearctic","Terrestrial","Global","21 March 2017",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Geological events;Climate change & severe weather","Forest;Grassland;Introduced vegetation"
"Cave grround-beetle","animalia","insecta","arthropoda","Trechus oromii","carabidae","oromii","coleoptera","trechus",2017,"Decreasing","Palearctic","Terrestrial","Global","05 December 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Transportation & service corridors;Human intrusions & disturbance;Geological events;Climate change & severe weather","Caves and Subterranean Habitats (non-aquatic)"
"Cave ground-beetle","animalia","insecta","arthropoda","Trechus pereirai","carabidae","pereirai","coleoptera","trechus",2018,"Decreasing","Palearctic","Terrestrial","Global","07 December 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Transportation & service corridors;Human intrusions & disturbance;Natural system modifications;Pollution;Geological events;Climate change & severe weather","Caves and Subterranean Habitats (non-aquatic)"
"Great Palau tree snail","animalia","gastropoda","mollusca","Palaopartula calypso","partulidae","calypso","stylommatophora","palaopartula",2016,"Unknown","Oceanian","Terrestrial","Global","09 September 2011",NA,"Residential & commercial development;Invasive and other problematic species, genes & diseases","Forest"
