"name","kingdom","class","phylum","scientificName","family","species","order","genus","yearPublished","populationTrend","biogeographicalRealms","systems","scopes","lastAssessed","estimatedPopulation","threats","habitats"
"Christmas Island Shrew","animalia","mammalia","chordata","Crocidura trichura","soricidae","trichura","eulipotyphla","crocidura",2016,"Decreasing","Australasian","Terrestrial","Global","18 July 2015",NA,"Residential & commercial development;Agriculture & aquaculture;Transportation & service corridors;Invasive and other problematic species, genes & diseases","Forest"
"San Lorenzo Deermouse","animalia","mammalia","chordata","Peromyscus interparietalis","cricetidae","interparietalis","rodentia","peromyscus",2018,"Decreasing","Nearctic","Terrestrial","Global","16 January 2017",NA,"Invasive and other problematic species, genes & diseases","Desert"
"Perote Deer Mouse","animalia","mammalia","chordata","Peromyscus bullatus","cricetidae","bullatus","rodentia","peromyscus",2018,"Decreasing","Neotropical","Terrestrial","Global","16 January 2017",NA,"Agriculture & aquaculture","Forest;Shrubland;Grassland"
"Monserrat Island Deermouse","animalia","mammalia","chordata","Peromyscus caniceps","cricetidae","caniceps","rodentia","peromyscus",2018,"Decreasing","Nearctic","Terrestrial","Global","16 January 2017",NA,"Invasive and other problematic species, genes & diseases","Desert"
"Catalina Deer Mouse","animalia","mammalia","chordata","Peromyscus slevini","cricetidae","slevini","rodentia","peromyscus",2018,"Decreasing","Nearctic","Terrestrial","Global","16 January 2017",NA,"Invasive and other problematic species, genes & diseases","Shrubland;Rocky areas (eg. inland cliffs, mountain peaks)"
"Coronados Deer Mouse","animalia","mammalia","chordata","Peromyscus pseudocrinitus","cricetidae","pseudocrinitus","rodentia","peromyscus",2018,"Decreasing","Nearctic","Terrestrial","Global","16 January 2017",NA,"Invasive and other problematic species, genes & diseases","Shrubland;Rocky areas (eg. inland cliffs, mountain peaks);Marine Coastal/Supratidal"
"Banff Springs Physa","animalia","gastropoda","mollusca","Physella johnsoni","physidae","johnsoni","hygrophila","physella",2017,"Stable","Nearctic","Freshwater (=Inland waters)","Global","03 September 2015",NA,"Human intrusions & disturbance;Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","amphibia","chordata","Plethodontohyla matavy","microhylidae","matavy","anura","plethodontohyla",2016,"Decreasing","Afrotropical","Terrestrial","Global","25 November 2015",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use","Forest"
NA,"animalia","actinopterygii","chordata","Paretroplus gymnopreopercularis","cichlidae","gymnopreopercularis","perciformes","paretroplus",2016,"Decreasing","Afrotropical","Freshwater (=Inland waters)","Global","02 July 2016",NA,"Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Pomacea ocanensis","ampullariidae","ocanensis","architaenioglossa","pomacea",2016,"Decreasing","Neotropical","Freshwater (=Inland waters)","Global","08 October 2014",NA,"Residential & commercial development;Natural system modifications;Pollution","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Plectostoma charasense","diplommatinidae","charasense","architaenioglossa","plectostoma",2014,"Decreasing","Indomalayan","Terrestrial","Global","31 March 2014",NA,"Agriculture & aquaculture;Energy production & mining","Forest"
NA,"animalia","gastropoda","mollusca","Plectostoma retrovertens","diplommatinidae","retrovertens","architaenioglossa","plectostoma",2014,"Decreasing","Indomalayan","Terrestrial","Global","31 March 2014",NA,"Energy production & mining","Forest"
NA,"animalia","actinopterygii","chordata","Pelasgus epiroticus","cyprinidae","epiroticus","cypriniformes","pelasgus",2006,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","31 January 2006",NA,"Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Alosa vistonica","clupeidae","vistonica","clupeiformes","alosa",2006,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","31 January 2006",NA,"Biological resource use;Pollution;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Oreochromis chungruruensis","cichlidae","chungruruensis","perciformes","oreochromis",2006,"Decreasing","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Eastern Africa","31 January 2006",NA,"Pollution;Climate change & severe weather","Unknown"
NA,"animalia","actinopterygii","chordata","Oxynoemacheilus simavica","balitoridae","simavica","cypriniformes","oxynoemacheilus",2006,"Decreasing","Palearctic","Freshwater (=Inland waters)","Global","31 January 2006",NA,"Natural system modifications;Pollution","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Telestes turskyi","cyprinidae","turskyi","cypriniformes","telestes",2006,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","31 January 2006",NA,"Natural system modifications;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Wetlands (inland)"
